,state,UP,DOWN,LEFT,RIGHT,POLICY
59,"((3, 2), (2, 2))",-283.9444188325964,-284.9369278969057,-288.9774910589547,-889.0,UP
60,"((2, 2), (1, 2))",-274.3491646855888,-274.281181480534,-270.651938794286,-762.75,LEFT
61,"((3, 2), (1, 2))",-274.2370063231866,-271.4636989852503,-267.6432941280403,-509.0,LEFT
62,"((3, 1), (1, 2))",-262.5872953603546,-265.46302797435254,-266.6290185361368,-269.1847526944616,UP
63,"((3, 0), (1, 2))",-264.39617553879157,-261.1420930480297,-257.05531192168564,-263.51776604906405,LEFT
64,"((4, 0), (1, 2))",-261.5814028294488,-269.4103035158377,-261.8940089094798,-263.25346079830365,UP
65,"((2, 3), (1, 2))",0.0,0.0,0.0,0.0,UP
66,"((5, 2), (4, 1))",-337.3311531661444,-338.36850857505164,-335.7043019208354,-508.0,LEFT
67,"((4, 2), (4, 1))",-333.44542543023033,-338.1097001441731,-337.3323088515921,-761.25,UP
68,"((3, 2), (4, 1))",-333.431361799707,-330.5450768556478,-330.48698956960544,-762.0,LEFT
69,"((2, 2), (4, 1))",-328.8041555085787,-332.10177182723805,-331.1407437990772,-762.75,UP
70,"((1, 2), (4, 1))",-327.3773166978531,-321.25925410660716,-323.40835629595017,-324.317669642377,DOWN
71,"((0, 2), (4, 1))",-327.0237821591862,-322.9765439325462,-328.22843347061973,-324.61415941989287,DOWN
72,"((5, 1), (3, 1))",-324.9541875421239,-329.47944113040717,-328.59767051573357,-325.12252793008815,UP
73,"((4, 0), (3, 1))",-325.7946986562026,-328.04473484860887,-327.40571101946523,-324.953127073162,RIGHT
74,"((3, 0), (3, 1))",-316.24726331153687,-325.4605189149755,-320.7683284735606,-317.21717972637725,UP
75,"((2, 0), (3, 1))",-312.9262437877814,-316.1243861466487,-316.6783072451778,-317.9472584175826,UP
76,"((1, 0), (3, 1))",-312.57556057877434,-308.71917826108336,-312.7845347753075,-314.09052973196464,DOWN
77,"((0, 0), (3, 1))",-312.1828056455001,-308.0874440532484,-312.1828056455001,-312.2649937187378,DOWN
78,"((5, 0), (3, 1))",-324.78057901973654,-329.61879542512713,-329.61879542512713,-330.9347926889481,UP
79,"((4, 2), (3, 1))",-328.2268562985024,-329.21597273838734,-324.91940957371884,-508.5,LEFT
80,"((3, 2), (3, 1))",-320.76445787556406,-328.80396124110285,-320.7683284735606,-762.0,UP
81,"((2, 2), (3, 1))",-315.7359200416263,-314.3083801838518,-313.62044447858,-508.5,LEFT
